id,Facility Name,Facility Type,Address,County,Phone,Email,Program Type,Age Range,Total License Capacity,Annual Inspection Date,Unannounced Inspection Date,In Compliance,Number of Violations
2432771,University Children's Centre (Life Sciences),Day Care Facility,1355 OXFORD ST. HALIFAX,Halifax County,902-494-7001,ucc@dal.ca,"Part Day,School Age",3 years - 9 years,36,10-Apr-13,18-Oct-12,Yes,0
2432768,University Children's Centre (Dalhousie),Day Care Facility,6101 SOUTH ST. HALIFAX,Halifax County,902-494-7001,ucc@dal.ca,Full Day,4 months - 5 years,78,10-Apr-13,18-Oct-12,Yes,0
2432750,Truro Headstart School Society,Day Care Facility,36 ARTHUR ST. TRURO,Colchester County,902-895-1411,thspreschool@ns.aliantzinc.ca,Part Day,3 years - 5 years,19,21-Nov-12,02-May-13,Yes,0
2432738,Town Daycare Centre,Day Care Facility,15 SECOND ST. GLACE BAY,Cape Breton County,902-849-6086,,"Full Day,School Age",18 months - 12 years,94,01-Aug-13,17-Dec-12,Yes,0
2432729,Tottle Inn Children's Centre (The),Day Care Facility,234 FALMOUTH BACK RD. FALMOUTH,Hants County,902-792-2223,jackymiller@msn.ca,"Full Day,Part Day",18 months - 12 years,25,19-Sep-12,27-Feb-13,Yes,0
2432726,Tot's Academy Child Care Society,Day Care Facility,480 HIGHWAY 2 HWY. ENFIELD,Hants County,902-883-7791,totsacademy@eastlink.ca,"Full Day,Part Day,School Age",18 months - 12 years,76,25-Jun-13,09-Jan-13,Yes,0
2432723,Top of the Hill Day Care,Day Care Facility,35 ANDOVER ST. DARTMOUTH,Halifax County,902-434-3639,johnnyboucher@bellaliant.net,School Age,5 years - 12 years,60,07-Aug-13,17-Dec-12,Yes,0
2432717,Tish's Nursery School,Day Care Facility,43 COUNTRY LAKE CRES. DAYTON,Yarmouth County,902-742-8412,tishmoses@yahoo.ca,Part Day,3 years - 5 years,20,23-Jan-13,18-Oct-12,Yes,0
2432714,Tiny Treasures Nursery School,Day Care Facility,222 SACKVILLE DR. LOWER SACKVILLE,Halifax County,902-864-8469,tinytreasures@rockchurch.ca,Part Day,30 months - 5 years,75,22-May-13,06-Nov-12,Yes,0
2432711,Tiny Town Daycare & Preschool,Day Care Facility,54 MOUNT FLORENCE ST. COXHEATH,Cape Breton County,902-562-2127,,"Full Day,School Age",18 months - 12 years,34,25-Jul-13,19-Feb-13,Yes,0
2432708,Tiny Angels Daycare Centre Limited,Day Care Facility,114 OCEANVIEW DR. BEDFORD,Halifax County,902-832-2786,neissi_z@yahoo.com,Full Day,18 months - 5 years,14,02-May-13,11-Oct-12,Yes,0
2432702,Through The Years Day Care and Community Centre,Day Care Facility,20 PTE. RICHARD GREEN LANE HUBBARDS,Lunenburg County,902-857-1777,throughtheyears-director@hotmail.com,"Full Day,School Age",5 months - 12 years,90,11-Jul-13,18-Dec-12,Yes,0
2432699,Through The Looking Glass Child Care Ltd.,Day Care Facility,5228 HIGHWAY 7 HWY. PORTERS LAKE,Halifax County,902-827-4283,dawn.jenkins@bellaliant.net,"Full Day,School Age",2 years - 12 years,49,16-Jan-13,03-Jul-13,No,2
2432678,Tallahassee Preschool / After School,Day Care Facility,168 REDOUBT WAY EASTERN PASSAGE,Halifax County,902-465-8697,paulandlesley@ns.sympatico.ca,"Full Day,Part Day,School Age",18 months - 12 years,101,14-Sep-12,06-Mar-13,Yes,0
2432675,Tadpoles and Pollywogs Child Care Centre,Day Care Facility,28 GOUROK AVE. DARTMOUTH,Halifax County,902-444-0421,tadpolesandpolly@eastlink.ca,"Full Day,School Age",3 months- 12 years,16,04-Mar-13,14-Aug-13,Yes,0
2432672,Sydney River After School Program,Day Care Facility,35 PHILIP ST. SYDNEY RIVER,Cape Breton County,902-561-1717,,School Age,5 years - 12 years,30,28-Jan-13,27-Sep-12,Yes,0
2432669,Sydney Day Care,Day Care Facility,62 COTTAGE RD. SYDNEY,Cape Breton County,902-539-5965,sydneydaycare@ns.aliantzinc.ca,"Full Day,School Age",18 months - 12 years,115,03-Jun-13,23-Oct-12,Yes,0
2432666,Swings Daycare,Day Care Facility,658 HIGHWAY 2 HWY. ELMSDALE,Hants County,902-883-1976,,"Full Day,School Age",18 months - 12 years,29,06-Jun-13,11-Jan-13,Yes,0
2432654,Sunnybrae After School Program #2,Day Care Facility,69 SUNNYBRAE AVE. HALIFAX,Halifax County,902-445-2270,jodismagicbeings@hotmail.com,School Age,5 years - 12 years,14,24-Oct-12,11-Apr-13,Yes,0
2432651,Sunnybrae After School Program,Day Care Facility,65 SUNNYBRAE AVE. HALIFAX,Halifax County,902-445-2270,jodismagicbeings@hotmail.com,School Age,5 years - 12 years,14,25-Oct-12,12-Apr-13,Yes,0
2432648,Sunny Valley Pre-School,Day Care Facility,110 SALMON RIVER RD. VALLEY,Colchester County,890-2458,,"Part Day,School Age",3 years - 12 years,10,04-Oct-12,10-Apr-13,Yes,0
2432642,Strait Area Educational Recreational Centre,Day Care Facility,304 PITT ST. PORT HAWKESBURY,Inverness County,902-625-3637,,Full Day,30 months - 5 years,42,05-Sep-13,01-Mar-13,No,1
2432636,Stewiacke Play/Pre-School Association,Day Care Facility,111 HIGHWAY 2 HWY. STEWIACKE,Colchester County,902-639-2181,pfjocn@hotmail.ca,Part Day,3 years - 5 years,20,29-Jan-13,02-Oct-12,Yes,0
2432630,Stepping Stone Preschool and Childcare Centre,Day Care Facility,"1733 HIGHWAY 1 HWY. AUBURN, nova scotia",Kings County,902-847-0310,peter.thomas@ns.sympatico.ca,"Full Day,School Age",18 months - 12 years,28,22-10-2012,11-04-2013,Yes,0
2432627,Starting Blocks Day Care and Preschool Ltd.,Day Care Facility,24 ROSS ST. PICTOU,Pictou County,902-485-1957,,Full Day,2 years - 5 years,33,04-Mar-13,13-Sep-13,Yes,0
2432621,St. Peter's Early Childhood Education Centre,Day Care Facility,17 ARGYLE ST. ST. PETER'S,Richmond County,902-535-3446,rceceadaycare@hotmail.com,"Full Day,School Age",18 months - 12 years,40,11-Jul-13,04-Jan-13,Yes,0
2432618,St. Paul's Youth Centre & Nursery School,Day Care Facility,293 ETTER RD. MOUNT UNIACKE,Hants County,902-866-2510,karenauby@hotmail.com,Part Day,3 years - 5 years,24,30-Nov-12,29-May-13,Yes,0
2432615,St. Joseph's Children's Centre (Monastery),Day Care Facility,2155 MONASTERY LANE HALIFAX,Halifax County,902-422-8441,quinpool@stjcc.ca,Full Day,18 months - 12 years,86,05-Oct-12,05-Mar-13,Yes,0
2432612,St. Joseph's Children's Centre (Lacewood),Day Care Facility,59 GLENFOREST DR. HALIFAX,Halifax County,902-405-8508,glenforest@stjcc.ca,"Full Day,School Age",18 months - 12 years,74,17-Jun-13,03-Dec-12,Yes,0
2432609,St. Joseph's Children's Centre (Duke Tower),Day Care Facility,5251 DUKE ST. HALIFAX,Halifax County,902-422-8441,scotiasq@stjcc.ca,Full Day,18 months - 5 years,63,08-May-13,17-Oct-12,Yes,0
2432606,St. Joseph's Children's Centre (Damascus Road),Day Care Facility,30 DAMASCUS RD. SUITE 115 BEDFORD,Halifax County,902-422-8441,damascus@stjcc.ca,Full Day,3 months - 6 years,104,19-Jul-13,23-Jan-13,Yes,0
2432594,Spring Garden Child Care Centre,Day Care Facility,2380 SPRING GARDEN RD. WESTVILLE,Pictou County,902-695-3110,springgardenccc@eastlink.ca,"Full Day,Part Day,School Age",18 months - 12 years,54,31-Jan-13,09-Jul-13,Yes,0
2432591,Splash of Color Children's Centre,Day Care Facility,12280 HIGHWAY 224 HWY. MIDDLE MUSQUODOBOIT,Halifax County,902-384-3276,,Full Day,2 years - 12 years,20,22-Mar-13,15-Oct-12,Yes,0
2432585,Southgate Village Kids Academy Limited,Day Care Facility,540 SOUTHGATE DR. SUITE 102 BEDFORD,Halifax County,902-405-5437,info@kidsacademy.ca,"Full Day,Part Day",18 months - 5 years,84,06-Dec-12,05-Jun-13,Yes,0
2432582,Southdale Day Care Centre,Day Care Facility,1 REGENCY DR. DARTMOUTH,Halifax County,902-466-7714,southdaledaycare@eastlink.ca,"Full Day,School Age",3 years - 12 years,30,29-Jul-13,06-Dec-12,Yes,0
2432579,South End Community Day Care Centre,Day Care Facility,5594 MORRIS ST. HALIFAX,Halifax County,902-420-1618,,Full Day,3 months - 12 years,81,10-Jul-13,14-Jan-13,Yes,0
2432573,Smiles and Chuckles Children's Centre,Day Care Facility,54 MAIN ST. E STEWIACKE,Colchester County,902-639-2305,smilesandchuckles@gmail.ca,"Full Day,School Age",18 months - 12 years,24,16-Apr-13,06-Nov-12,Yes,0
2432570,Small World Learning Centre (York St.),Day Care Facility,352 YORK ST. BRIDGEWATER,Lunenburg County,902-543-9840,smallworld@ns.aliantzinc.ca,"Full Day,School Age",18 months - 12 years,50,10-Oct-12,26-Apr-13,Yes,0
2432567,Small World Learning Centre,Day Care Facility,"115 PLEASANT ST. BRIDGEWATER, B4V 1N3",Lunenburg County,902-543-9840,smallworld@ns.aliantzinc.ca,"Part Day,School Age",30 months - 12 years,30,10-10-2012,15-04-2013,Yes,0
2432561,Size Small Nursery School,Day Care Facility,985 MAIN ST. PORT WILLIAMS,Kings County,902-542-5961,lminer@eastlink.ca,Part Day,2 years - 5 years,19,28-Jan-13,22-May-13,Yes,0
2432558,Silver Crescent Academy Children Center,Day Care Facility,3845 JOSEPH HOWE DR. LL2A HALIFAX,Halifax County,902-220-5988,silvercrescent@live.ca,"Full Day,School Age",18 months - 12 years,27,06-Dec-12,09-May-13,Yes,0
2432555,Sherwood Park Pre-School Limited,Day Care Facility,22 CARROLL LANE HALIFAX,Halifax County,902-445-3983,,"Full Day,School Age",18 months - 10 years,32,07-Jun-13,11-Jan-13,Yes,0
2432552,Sheldrake Preschool,Day Care Facility,46 SHELDRAKE CRES. HUBLEY,Halifax County,902-876-2378,lsshac@msn.com,"Full Day,Part Day,School Age",18 months - 12 years,14,29-Jan-13,31-Jul-13,Yes,0
2432546,Shearwater Children's Centre,Day Care Facility,30 PROVIDER RD. SHEARWATER,Halifax County,902-720-2004,shelley.hopkins@forces.gc.ca,"Full Day,Part Day,School Age",3 months - 12 years,161,25-Oct-12,17-Apr-13,Yes,0
2432543,Shambhala School Pre-Primary (The),Day Care Facility,5450 RUSSELL ST. HALIFAX,Halifax County,902-454-6100,director@shambhalaschool.org,Full Day,3 years - 5 years,24,07-Jan-13,17-Jun-13,Yes,0
2432528,Sackville-Bedford Developmental Centre (Kinsmen),Day Care Facility,71 FIRST LAKE DR. LOWER SACKVILLE,Halifax County,902-864-3105,sbdc@hotmail.ca,Full Day,18 months - 6 years,36,18-Oct-12,16-Apr-13,Yes,0
2432525,Sackville Family Day Care,Family Home Day Care Agency,22 MEMORY LANE LOWER SACKVILLE,Halifax County,902-864-6363,children@accesswave.ca,,,,Yes,0,,
2432504,Room to Grow Child Care Limited (Location #2),Day Care Facility,3206 HIGHWAY 2 HWY. FALL RIVER,Halifax County,902-576-5008,roomtogrow@hotmail.ca,Full Day,18 months - 5 years,34,06-Sep-13,06-Feb-13,No,2
2432480,River John SCORE Preschool Society,Day Care Facility,2 SCHOOL ST. RIVER JOHN,Pictou County,902-351-3600,scorepreschool.rjcs@gmail.com,Part Day,3 years - 5 years,15,23-Apr-13,30-Oct-12,Yes,0
2432462,Red Apple Children's Centre Ltd (The),Day Care Facility,12 CARTER CRES. ANTIGONISH,Antigonish County,902-863-4357,ulothann@hotmail.com,"Full Day,School Age",18 months - 10 years,40,17-Jan-13,29-Oct-12,Yes,0
2432459,Red Apple Children's Centre,Day Care Facility,77 HIGHLAND DR. UNIT B24 ANTIGONISH,Antigonish County,902-863-0430,ulothann@hotmail.com,"Full Day,School Age",18 months - 10 years,30,17-Jan-13,28-Sep-12,Yes,0
2432456,Ready Set Learn Preschool,Day Care Facility,3437 HIGHWAY 3 HWY. BARRINGTON PASSAGE,Shelburne County,902-637-1689,rosellal@ns.sympatico.ca,Part Day,2 years - 5 years,12,01-Oct-12,18-Mar-13,Yes,0
2432450,Queens Day Care Association,Day Care Facility,"108 COLLEGE ST., Liverpool, Nova Scotia, B0T 1K0",Queens County,902-354-5088,queensdaycare@ns.aliantzinc.ca,"Full Day,School Age",18 months - 12 years,42,07-05-2013,04-10-2012,Yes,0
2432444,Purple Door Children's Centre,Day Care Facility,9 DUMBARTON AVE. DARTMOUTH,Halifax County,902-434-3160,nbishop@eastlink.ca,Full Day,18 months - 5 years,20,17-Jan-13,24-Jun-13,Yes,0
2432435,Prospect Bay Children's Centre,Day Care Facility,356 PROSPECT BAY RD. PROSPECT BAY,Halifax County,902-852-2954,lnobleup7@aol.com,"Full Day,Part Day,School Age",30 months - 12 years,30,17-Oct-12,10-Apr-13,Yes,0
2432432,Project ELM Pre-school (Upper Musquodoboit),Day Care Facility,8416 HIGHWAY 224 HWY. UPPER MUSQUODOBOIT,Halifax County,902-384-2794,mvfrc@staff.ednet.ns.ca,Part Day,3 years - 5 years,16,23-Oct-12,30-Apr-13,Yes,0
2432429,Project ELM Pre-school (Middle Musquodoboit),Day Care Facility,12014 HIGHWAY 224 HWY. MIDDLE MUSQUODOBOIT,Halifax County,902-384-2794,mvfrc@staff.ednet.ns.ca,Part Day,3 years - 5 years,13,23-Oct-12,30-Apr-13,Yes,0
2432426,Project ELM Pre-school (Dutch Settlement),Day Care Facility,780 HIGHWAY 277 DUTCH SETTLEMENT,Halifax County,902-384-2794,mvfrc@staff.ednet.ns.ca,Part Day,3 years - 5 years,15,23-Oct-12,30-Apr-13,Yes,0
2432423,Portland Day Care Centre Ltd,Day Care Facility,530 PORTLAND ST. UNIT 204 DARTMOUTH,Halifax County,902-463-2323,zahra@portlanddaycare.ca,Full Day,3 months - 12 years,91,06-Nov-12,28-Mar-13,Yes,0
2432420,Port Wallis Day Care Centre,Day Care Facility,24 MOUNTBATTEN AVE. DARTMOUTH,Halifax County,902-435-2706,johnnyboucher@bellaliant.net,Full Day,18 months - 5 years,27,06-Jun-13,22-Nov-12,Yes,0
2432414,Ponderosa Play and Learn Children's Centre Ltd,Day Care Facility,15 PONDEROSA DR. ANTIGONISH,Antigonish County,863-4975,,"Full Day,School Age",18 months - 12 years,39,06-Sep-13,02-Jan-13,No,7
2432411,Ponderosa Play and Learn After School Program,Day Care Facility,"15 Ponderosa Dr, Antigonish, NS B2G 2R4",Antigonish County,902-863-3994 or 863-4975 am,,School Age,4 years - 12 years,45,10-09-2013,13-02-2013,No,3
2432408,Point Pleasant Child Care Centre (St. Mary's),Day Care Facility,5845 GORSEBROOK AVE. HALIFAX,Halifax County,902-422-2293,ppccc@ns.sympatico.ca,Full Day,18 months - 5 years,36,05-Feb-13,25-Jul-13,Yes,0
2432405,Point Pleasant Child Care Centre (Ogilvie),Day Care Facility,5651 OGILVIEST. HALIFAX,Halifax County,902-422-2293,ppccc@ns.sympatico.ca,Full Day,18 months - 6 years,75,05-Feb-13,25-Jul-13,Yes,0
2432402,Point Pleasant Child Care Centre (Infant),Day Care Facility,5845 GORSEBROOK AVE. HALIFAX,Halifax County,902-422-2293,ppccc@ns.sympatico.ca,Full Day,3 months - 3 years,23,05-Feb-13,25-Jul-13,Yes,0
2432393,Playtime at Dodie's Preschool,Day Care Facility,10492 SHERBROOKE RD. NEW GLASGOW,Pictou County,902-754-7438,klamey@ns.sympatico.ca,"Full Day,School Age",3 years - 12 years,85,16-Apr-13,19-Nov-12,Yes,0
2432390,Playschool Day Care Centre,Day Care Facility,3736 CONNORS AVE. NEW WATERFORD,Cape Breton County,902-862-6672,,"Full Day,School Age",18 Months - 12 years,74,20-Sep-12,27-Feb-13,Yes,0
2541643,"Play, Learn, Grow in Bedford",Day Care Facility,1040 BEDFORD HWY. BEDFORD,Halifax County,(902) 444-7544,sonia@play-learn-grow.com,"Full Day,Part Day,School Age",18 months to 12 years,81,N/A,29-Apr-13,Yes,0
2432375,Peter Pan Day Care Centre,Day Care Facility,"77 JAMES ST. SYDNEY, Nova Scotia",Cape Breton County,902-562-6551,peterpandaycare@ns.aliantzinc.ca,"Full Day,School Age",3 months - 12 years,59,12-02-2013,07-08-2013,No,1
2432372,Peter Green Hall Children's Centre,Day Care Facility,1094 WELLINGTON ST. HALIFAX,Halifax County,902-494-1747,bcbigelo@dal.ca,"Full Day,School Age",4 months - 12 years,91,03-Jul-13,15-Nov-12,Yes,0
2432369,Perriwinkle's Child Care Centre (School Age),Day Care Facility,385 COW BAY RD. EASTERN PASSAGE,Halifax County,902-465-1146,perriwinkles@hotmail.com,Full Day,5 years - 12 years,40,23-May-13,23-Nov-12,Yes,0
2432366,Perriwinkle's Child Care Centre,Day Care Facility,153 COW BAY RD. EASTERN PASSAGE,Halifax County,902-465-1146,perriwinkles@hotmail.com,Full Day,4 months - 5 years,52,17-May-13,15-Nov-12,Yes,0
